dia,t_total,t_prueba1,t_prueba2,rechaza,llora,toca,prueba,consume,valence_inicio,arousal_inicio,valence_p1_before,valence_p1_during,valence_p1_after,valence_p2_before,valence_p2_during,valence_p2_after,arousal_p1_before,arousal_p1_during,arousal_p1_after,arousal_p2_before,arousal_p2_during,arousal_p2_after,valence_final,arousal_final,comentarios,id,dia_original,dia_num,fase_dia,valence_mean,arousal_mean,valence_delta,arousal_delta,valence_p1_delta,valence_p2_delta,arousal_p1_delta,arousal_p2_delta,aceptacion_score,va_missing_count,tiene_nota_tecnica,texto_limpio,lex_rechazo_activo,lex_rechazo_activo_score,lex_malestar_emocional,lex_malestar_emocional_score,lex_aceptacion,lex_aceptacion_score,lex_exploracion,lex_exploracion_score,lex_intervencion_adulto,lex_intervencion_adulto_score,lex_autonomia,lex_autonomia_score,lex_problema_datos,lex_problema_datos_score,lex_net_acceptance,score_negacion,sentiment_label,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_score,cond_gira_cara,cond_usa_manos,cond_llora_malestar,cond_juega_alimento,cond_autonomo,cond_adulto_interviene,cond_formato_entero,cond_formato_papilla,cond_video_problema,cond_segunda_prueba,cond_ambivalente
4.2,14.96,7.7,12.36,1,1,1,1,0,0.46632,0.7001458,0.2931039,0.383307,0.4204992,0.4375155,0.5659603,0.509598,0.4533916,0.4641119,0.6628521,0.565823,0.712985,0.767247,0.1421748,0.4870692,,ID4,4.2,4.2,sin_fase,0.402309838,0.6017032,-0.3241452,-0.2130766,0.1273953,0.0720825,0.2094605,0.201424,-0.5,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
5,11.76,,,1,0,1,0,0,0.1874245,0.4867125,,,,,,,,,,,,,0.2335062,0.6708413,,ID4,5,5,sin_fase,0.21046535,0.5787769,0.0460817,0.1841288,,,,,-0.5,12,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,5.76,1.86,,0,0,1,1,1,0.3476233,0.701775,0.4297229,0.4324982,0.5278921,,,,0.7802235,0.7669539,0.7609159,,,,0.4073971,0.8656063,,ID4,6,6,sin_fase,0.42902672,0.77509492,0.0597738,0.1638313,0.0981692,,-0.0193076,,1,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7,20.66,16.6,,1,0,1,1,0,0.7609866,0.8364167,0.5350808,0.5398625,0.4813622,,,,0.6666743,0.6486993,0.687156,,,,0.3012738,0.5466778,,ID4,7,7,sin_fase,0.52371318,0.67712482,-0.4597128,-0.2897389,-0.0537186,,0.0204817,,0,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8,12.73,8.13,,1,1,0,1,1,0.7609866,0.8364167,0.4773709,0.6007314,0.6564159,,,,0.734382,0.7667857,0.7930459,,,,0.6335887,0.8250859,,ID4,8,8,sin_fase,0.6258187,0.79114324,-0.1273979,-0.0113308,0.179045,,0.0586639,,0,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,12.53,,,1,1,0,0,0,0.2479583,0.5304459,,,,,,,,,,,,,0.8673298,0.845152,,ID4,9,9,sin_fase,0.55764405,0.68779895,0.6193715,0.3147061,,,,,-1,12,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
10,13.96,10.53,,1,0,1,1,1,0.53347,0.7982417,0.4118963,0.5329944,0.5738465,,,,0.6520225,0.6386909,0.6274585,,,,0.5801713,0.7324162,,ID4,10,10,sin_fase,0.5264757,0.68976596,0.0467013,-0.0658255,0.1619502,,-0.024564,,0.5,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
11,16.33,10.16,13.43,1,0,0,1,1,0.1069694,0.5971917,0.4684255,0.4732376,0.4538222,,0.4048686,0.4525332,0.734047,0.72901,0.8390992,,0.6712682,0.6578734,0.5441399,0.712579,,ID4,11,11,sin_fase,0.414856629,0.705866929,0.4371705,0.1153873,-0.0146033,,0.1050522,,0.5,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,18,1.66,13.7,0,0,1,1,1,0.5116931,0.8894417,0.40009,0.4379052,0.4035405,0.620737,0.547195,0.5416076,0.9119381,0.9031362,0.8591555,0.7917123,0.7524199,0.7019455,0.3868339,0.5490386,,ID4,12,12,sin_fase,0.481200288,0.794848475,-0.1248592,-0.3404031,0.0034505,-0.0791294,-0.0527826,-0.0897668,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
13,28.5,11.83,21.36,1,0,1,1,1,0.3856116,0.8330833,0.1533314,0.1598639,0.2596418,0.36581,0.2057974,0.1316721,0.6488993,0.6159648,0.5987015,0.6402842,0.6082765,0.6209521,0.2639097,0.6560181,,ID4,13,13,sin_fase,0.240704738,0.652772475,-0.1217019,-0.1770652,0.1063104,-0.2341379,-0.0501978,-0.0193321,0.5,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
14,19.36,2.1,16.1,0,0,1,1,1,,,0.1630802,0.174154,0.3804681,0.3078902,0.2727804,0.3046694,0.8754442,0.8628566,0.8431272,0.7853004,0.7153798,0.6544235,0.2585716,0.6160308,,ID4,14,14,sin_fase,0.265944843,0.764651786,,,0.2173879,-0.0032208,-0.032317,-0.1308769,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15,11.43,9.23,,1,0,0,1,1,0.1313746,0.1263917,0.5037573,0.4520134,0.438798,,,,0.7523381,0.7635792,0.9001532,,,,0.565807,0.8391489,,ID4,15,15,sin_fase,0.41835006,0.67632222,0.4344324,0.7127572,-0.0649593,,0.1478151,,0.5,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
16,20.83,4.7,14.6,1,1,1,1,1,0.2511733,0.4443209,0.3733121,0.309316,0.4289626,0.2012161,0.240632,0.2019597,0.9081705,0.8390846,0.8077877,0.5043757,0.6083072,0.6809487,0.2375585,0.6253595,,ID4,16,16,sin_fase,0.280516288,0.67729435,-0.0136148,0.1810386,0.0556505,0.0007436,-0.1003828,0.176573,0,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
17,13.36,0.83,12.01,0,0,0,1,1,0.6267734,0.9600667,0.6267734,0.5529107,0.4995954,0.2654854,0.1961046,0.1932606,0.9600667,0.9773068,0.9649363,0.6303201,0.6662307,0.7008217,0.1740625,0.7297953,,ID4,17,17,sin_fase,0.39187075,0.823693038,-0.4527109,-0.2302714,-0.127178,-0.0722248,0.0048696,0.0705016,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
1,21.9,6.56,15.43,0,0,0,1,1,0.07286572,0.3346834,0.1000111,0.09958313,0.09196364,,0.1369923,0.1132408,0.3882401,0.3655536,0.4716974,,0.4580409,0.4432163,0.08460379,0.2785172,,ID5,1,1,sin_fase,0.099894354,0.391421271,0.01173807,-0.0561662,-0.00804746,,0.0834573,,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,16.16,8.5,,1,0,1,1,1,0.17844,0.3742583,0.1960485,0.2984404,0.2427935,,,,0.4310377,0.4459315,0.4562718,,,,0.1567207,0.6881297,Mueve la cabeza levemente lo que fue considerado rechazo,ID5,2,2,sin_fase,0.21448862,0.4791258,-0.0217193,0.3138714,0.046745,,0.0252341,,0.5,6,False,mueve la cabeza levemente lo que fue considerado rechazo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
3,21.43,,,1,0,0,0,0,0.1287434,0.3592209,,,,,,,,,,,,,0.1382806,0.4149342,Rechaza negando con la cabeza reiteradas veces ,ID5,3,3,sin_fase,0.133512,0.38707755,0.0095372,0.0557133,,,,,-0.5,12,False,rechaza negando con la cabeza reiteradas veces,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
4,36.76,0.8,13.1,1,0,0,1,1,0.2348786,0.9162375,,0.2348786,0.1859106,0.2566687,0.1622734,0.1253139,,0.9162375,0.9092651,0.7171143,0.6681877,0.6307254,0.08177916,0.6368987,Prueba y consume 3 veces. Rechaza levemente,ID5,4,4,sin_fase,0.183100423,0.7706666,-0.15309944,-0.2793388,,-0.1313548,,-0.0863889,0.5,2,False,prueba y consume 3 veces. rechaza levemente,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,0,0
5,12.66,2.4,8.7,0,0,0,0,1,0.1174615,0.551625,0.2028235,0.1688118,0.1282736,0.3916568,0.2821203,0.1737217,0.7051334,0.7431616,0.8899465,0.7157092,0.6938621,0.6725777,0.1395985,0.5547471,,ID5,5,5,sin_fase,0.200558463,0.690845325,0.022137,0.0031221,-0.0745499,-0.2179351,0.1848131,-0.0431315,0.5,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,18.96,2.73,15.26,0,0,0,1,1,0.08643068,0.08529168,0.2286272,0.171074,0.1342721,0.3025112,0.2094715,0.1486068,0.4341018,0.5196538,0.6043819,0.6013323,0.5802768,0.1486068,0.1393707,0.475454,La segunda vez que se le ofrece mueve levemente la cabeza hacia un lado pero luego consume la papilla,ID5,6,6,sin_fase,0.177545523,0.431137385,0.05294002,0.39016232,-0.0943551,-0.1539044,0.1702801,-0.4527255,1,0,False,la segunda vez que se le ofrece mueve levemente la cabeza hacia un lado pero luego consume la papilla,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,,,,,,0,0,0,0,0,0,0,1,0,1,0
7,17.1,3.63,14.06,0,0,0,1,1,0.08674601,0.6212626,0.1700401,0.1176703,0.09086413,0.2237173,0.1470591,0.1068079,0.5812681,0.5771346,0.7177253,0.439631,0.4517607,0.6396815,0.1082904,0.602698,,ID5,7,7,sin_fase,0.131399405,0.578895225,0.02154439,-0.0185646,-0.07917597,-0.1169094,0.1364572,0.2000505,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8,12.03,6,,1,0,0,1,1,0.09420461,0.3740042,0.1573644,0.1354523,0.110948,,,,0.5711524,0.5451602,0.6180469,,,,0.1201899,0.5177593,,ID5,8,8,sin_fase,0.123631842,0.5252246,0.02598529,0.1437551,-0.0464164,,0.0468945,,0.5,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,13.73,3.1,9.26,0,0,0,1,1,,,,0.114986,0.1226716,,0.1750235,,,0.3154608,0.438445,,0.4895498,,0.1786822,0.4760514,,ID5,9,9,sin_fase,0.147840825,0.42987675,,,,,,,1,8,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
10,13.43,2.4,7.13,0,0,0,1,1,0.3414838,0.8012916,0.1907356,0.1238662,0.0923874,0.1715276,0.1238795,,0.7453792,0.8160973,0.8845656,0.584268,0.6140738,,0.07401735,0.7706251,,ID5,10,10,sin_fase,0.159699636,0.7451858,-0.26746645,-0.0306665,-0.0983482,,0.1391864,,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
11,15.5,2.5,10.56,0,0,0,1,1,0.1066376,0.2835792,0.2477149,0.1624225,0.1086488,0.284757,0.2080436,0.1263912,0.7152368,0.6579061,0.6120032,0.6955296,0.646964,0.614213,0.08154402,0.4459144,,ID5,11,11,sin_fase,0.165769952,0.583918288,-0.02509358,0.1623352,-0.1390661,-0.1583658,-0.1032336,-0.0813166,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,13.1,1.8,8.3,0,0,0,1,1,0.3709971,0.99,0.2274557,0.1425995,0.1047113,0.1583922,0.1221257,0.1014172,0.9398165,0.8499561,0.8121635,0.6879677,0.6582197,0.6378042,0.08502621,0.6837502,,ID5,12,12,sin_fase,0.164090614,0.782459738,-0.28597089,-0.3062498,-0.1227444,-0.056975,-0.127653,-0.0501635,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
13,13.13,2.53,9.23,0,0,0,1,1,0.06698725,0.276875,0.1899374,0.1356393,0.1063614,0.2120446,0.1498246,0.1061962,0.6145815,0.573855,0.6518519,0.4492347,0.5505602,0.5537757,0.07821342,0.5053656,,ID5,13,13,sin_fase,0.130650521,0.52201245,0.01122617,0.2284906,-0.083576,-0.1058484,0.0372704,0.104541,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
14,17.96,0.9,13.97,0,0,0,1,1,0.1460558,0.5308167,0.1442343,0.1122848,0.09929047,0.2239062,0.1535288,0.1098861,0.5365527,0.548743,0.5348365,0.7646508,0.7304611,0.717452,0.1069283,0.4449098,,ID5,14,14,sin_fase,0.137014346,0.601052825,-0.0391275,-0.0859069,-0.04494383,-0.1140201,-0.0017162,-0.0471988,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15,18.43,2,15,0,0,1,1,1,0.07645227,0.2475,0.1908428,0.242087,0.1785626,0.1447362,0.1352948,,0.4055856,0.5290703,0.5666376,0.4750034,0.4538868,,0.07790751,0.5126841,,ID5,15,15,sin_fase,0.149411883,0.455766829,0.00145524,0.2651841,-0.0122802,,0.161052,,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
16,19.44,3.76,14.94,0,0,0,1,1,0.3262445,0.6369458,0.1953899,0.1286435,0.1021629,0.2008377,0.1541396,0.1080768,0.7305007,0.6775143,0.663052,0.6133249,0.6070623,0.6424165,0.1353242,0.3868475,,ID5,16,16,sin_fase,0.168852387,0.619708,-0.1909203,-0.2500983,-0.093227,-0.0927609,-0.0674487,0.0290916,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
1,20.23,1.46,11.46,0,0,0,1,1,0.1094733,0.1405583,0.2047668,0.3175745,0.2842456,0.187519,0.3365093,0.4547199,0.2997754,0.5767924,0.5999148,0.544583,0.6922419,0.7229797,0.2411,0.4498334,Lo consume pero con gestos de que no le gusta,ID6,1,1,sin_fase,0.26698855,0.503334863,0.1316267,0.3092751,0.0794788,0.2672009,0.3001394,0.1783967,1,0,False,lo consume pero con gestos de que no le gusta,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,1
2,17.96,1.3,11,0,0,0,1,1,0.2564056,0.5892125,0.2617333,0.3516092,0.4284485,0.2642973,0.4305703,0.493007,0.5703647,0.733595,0.746321,0.541035,0.6990727,0.7062195,0.1461632,0.536075,Lo consume pero con gestos de que no le gusta,ID6,2,2,sin_fase,0.3290293,0.640236925,-0.1102424,-0.0531375,0.1667152,0.2287097,0.1759563,0.1651845,1,0,False,lo consume pero con gestos de que no le gusta,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,1
3,13.59,,,1,1,0,0,0,0.4511576,0.783525,,,,,,,,,,,,,,,Se niega a consumirlo e incluso llora,ID6,3,3,sin_fase,0.4511576,0.783525,,,,,,,-1,14,False,se niega a consumirlo e incluso llora,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-2,-1,,,,,,0,0,1,0,0,0,0,0,0,0,0
4,19.19,1.6,11.8,0,0,0,1,1,0.12726,0.2297917,0.2850431,0.4510137,0.3908797,0.2867037,0.3183158,0.3421593,0.4469779,0.6467252,0.6447507,0.4740544,0.5591538,0.5982522,0.1767798,0.4240628,Lo consume pero con gestos de que no le gusta,ID6,4,4,sin_fase,0.297269388,0.502971088,0.0495198,0.1942711,0.1058366,0.0554556,0.1977728,0.1241978,1,0,False,lo consume pero con gestos de que no le gusta,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,1
5,16.66,,,1,0,0,0,0,0.1040415,0.04000833,,,,,,,,,,,,,0.1613267,0.4271692,,ID6,5,5,sin_fase,0.1326841,0.233588765,0.0572852,0.38716087,,,,,-0.5,12,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,15.59,,,1,0,0,0,0,0.07372083,0.4619167,,,,,,,,,,,,,0.09862088,0.660502,,ID6,6,6,sin_fase,0.086170855,0.56120935,0.02490005,0.1985853,,,,,-0.5,12,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7,15.86,,,1,0,0,0,0,0.1059866,0.4384292,,,,,,,,,,,,,0.06926724,0.4821484,,ID6,7,7,sin_fase,0.08762692,0.4602888,-0.03671936,0.0437192,,,,,-0.5,12,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8,14.83,,,1,1,0,0,0,0.1326809,0.6216959,,,,,,,,,,,,,0.2622037,0.5756736,,ID6,8,8,sin_fase,0.1974423,0.59868475,0.1295228,-0.0460223,,,,,-1,12,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,31.53,17.5,28.36,1,0,0,1,1,0.07249985,0.9596875,0.1013797,0.1619239,0.184136,0.1874186,0.1898036,0.2284722,0.7230508,0.6962226,0.6213862,0.4895563,0.4608524,0.4434471,0.1921063,0.6396705,En un comienzo se niega a consumirlo pero luego lo acepta,ID6,9,9,sin_fase,0.164717519,0.629234175,0.11960645,-0.320017,0.0827563,0.0410536,-0.1016646,-0.0461092,0.5,0,False,en un comienzo se niega a consumirlo pero luego lo acepta,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
2E,16.433,2.2,,1,0,1,0,0,0.1057152,0.2720583,0.3477973,0.3692422,0.3844198,,,,0.8254815,0.8104893,0.7612796,,,,0.1873123,0.5453695,"No se lo lleva a la boca, lo toma veces y juega con el alimento.",ID7,2E,2,E,0.27889736,0.64293564,0.0815971,0.2733112,0.0366225,,-0.0642019,,-0.5,6,False,"no se lo lleva a la boca, lo toma veces y juega con el alimento.",0,0,0,0,1,1,1,2,0,0,1,1,0,0,1,0,,,,,,0,0,0,1,0,0,0,0,0,0,0
3E,11.466,0.566,,1,0,1,0,0,0.1336443,0.1003333,0.1344942,0.1471791,0.1360936,,,,0.1009933,0.117334,0.1360936,,,,0.1556068,0.1196927,"Se niega a comerlo, lo toma  veces y lo lanza lejos.",ID7,3E,3,E,0.1414036,0.11488938,0.0219625,0.0193594,0.0015994,,0.0351003,,-0.5,6,False,"se niega a comerlo, lo toma veces y lo lanza lejos.",1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
4E,12.266,1.2,,1,0,1,0,0,0.1562684,0.1730459,0.1543502,0.1397188,0.1397188,,,,0.1721957,0.1486767,0.1486767,,,,0.08147135,0.05685955,"Lo toma, lo devuelve al plato y lo empuja lejos.",ID7,4E,4,E,0.13430551,0.13989091,-0.07479705,-0.11618635,-0.0146314,,-0.023519,,-0.5,6,False,"lo toma, lo devuelve al plato y lo empuja lejos.",1,2,0,0,0,0,1,1,0,0,0,0,0,0,-2,-2,,,,,,0,0,0,0,0,0,0,0,0,0,0
4P,13.066,0.9,,1,0,1,1,1,0.1363962,0.08845416,0.1325658,0.1176897,0.1185602,,,,0.08722661,0.08267605,0.07991334,,,,0.1320989,0.3739588,"Se le dió una cucharada de papilla, pone cara de disgusto e intenta sacarselo de la boca. Se atora y tose.",ID7,4P,4,P,0.12746216,0.142445792,-0.0042973,0.28550464,-0.0140056,,-0.00731327,,0.5,6,False,"se le dió una cucharada de papilla, pone cara de disgusto e intenta sacarselo de la boca. se atora y tose.",0,0,1,3,0,0,0,0,0,0,0,0,0,0,-3,0,,,,,,0,0,0,0,0,0,0,1,0,0,0
5E,7.5,,,1,0,0,0,0,0.1036171,0.4289292,,,,,,,,,,,,,0.1069002,0.07948165,Ocupa chupete. No toca el alimento y empuja el pocillo.,ID7,5E,5,E,0.10525865,0.254205425,0.0032831,-0.34944755,,,,,-0.5,12,False,ocupa chupete. no toca el alimento y empuja el pocillo.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
5P,9.066,,,1,0,0,0,0,0.113982,0.103,,,,,,,,,,,,,0.1740017,0.06581059,"No deja que la ""tía"" le saque el chupete. No toca el alimento y empuja la cuchara con papilla.",ID7,5P,5,P,0.14399185,0.084405295,0.0600197,-0.03718941,,,,,-0.5,12,False,no deja que la tía le saque el chupete. no toca el alimento y empuja la cuchara con papilla.,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,1,0,0,0
6E,9.133,,,1,0,0,0,0,0.4058599,0.99,,,,,,,,,,,,,0.2321085,0.283153,Devuelve el pocillo con el alimento y se lleva las manos a la cabeza.,ID7,6E,6,E,0.3189842,0.6365765,-0.1737514,-0.706847,,,,,-0.5,12,False,devuelve el pocillo con el alimento y se lleva las manos a la cabeza.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,,,,,,0,1,0,0,0,0,0,0,0,0,0
6P,5.4,,,1,0,0,0,0,0.1362616,0.3752583,,,,,,,,,,,,,0.1336904,0.3458251,Rechaza la cucharada de papilla girando la cara hacia el otro lado.,ID7,6P,6,P,0.134976,0.3605417,-0.0025712,-0.0294332,,,,,-0.5,12,False,rechaza la cucharada de papilla girando la cara hacia el otro lado.,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,,,,,,0,0,0,0,0,0,0,1,0,0,0
7E,9.333,2.566,,1,0,1,0,0,0.3246327,0.3300292,0.2094932,0.1857354,0.2113513,,,,0.447519,0.3745858,0.3138664,,,,0.1900151,0.3965346,Juega con el alimento y lo devuelve al pocillo.,ID7,7E,7,E,0.22424554,0.372507,-0.1346176,0.0665054,0.0018581,,-0.1336526,,-0.5,6,False,juega con el alimento y lo devuelve al pocillo.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,1,0,0,0,0,0,0,0
7P,12.733,1.433,,1,0,1,1,0,0.1452533,0.3471583,0.2065738,0.1793569,0.165295,,,,0.3868204,0.366736,0.3552068,,,,0.1138589,0.133878,"Recibe una cucharada, pone cara de disgusto y devuelve la papilla desde la boca ocupando las manos.",ID7,7P,7,P,0.16206758,0.3179599,-0.0313944,-0.2132803,-0.0412788,,-0.0316136,,0,6,False,"recibe una cucharada, pone cara de disgusto y devuelve la papilla desde la boca ocupando las manos.",1,1,1,3,1,1,0,0,0,0,0,0,0,0,-3,0,,,,,,0,0,0,0,0,0,0,1,0,0,0
8E,6.633,5.266,,1,0,1,0,0,0.1309987,0.1068167,0.1451098,0.121628,0.1353511,,,,0.137284,0.1206645,0.1028974,,,,0.1207956,0.08784545,Toma el alimento y lo devuelve al pocillo.,ID7,8E,8,E,0.13077664,0.11110161,-0.0102031,-0.01897125,-0.0097587,,-0.0343866,,-0.5,6,False,toma el alimento y lo devuelve al pocillo.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
8P,6.3,,,1,0,0,0,0,0.08995811,0.0189625,,,,,,,,,,,,,0.3078409,0.6289367,Rechaza la cucharada de papilla girando la cara hacia el otro lado.,ID7,8P,8,P,0.198899505,0.3239496,0.21788279,0.6099742,,,,,-0.5,12,False,rechaza la cucharada de papilla girando la cara hacia el otro lado.,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,,,,,,0,0,0,0,0,0,0,1,0,0,0
9E,26.8,10.5,20.633,0,0,1,1,1,0.1155743,0.02680417,0.2340952,0.1959944,0.159236,0.2650586,0.2435433,0.1930558,0.3339915,0.32234,0.2848601,0.1753214,0.3744113,0.3631523,0.1938332,0.105903,"Lo toma y lo prueba, dos veces. Lo devuelve al pocillo.",ID7,9E,9,E,0.20004885,0.248347971,0.0782589,0.07909883,-0.0748592,-0.0720028,-0.0491314,0.1878309,1,0,False,"lo toma y lo prueba, dos veces. lo devuelve al pocillo.",1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
10E,6.166,1.666,,0,0,1,1,1,,,,,0.151834,,,,,,0.0837781,,,,0.1230932,0.2235938,"El video está grabado en diagonal a su rostro, por lo que los datos del analisis esta alterados. Come en formato entero",ID7,10E,10,E,0.1374636,0.15368595,,,,,,,1,12,True,"el video está grabado en diagonal a su rostro, por lo que los datos del analisis esta alterados. come en formato entero",0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,,,,,,0,0,0,0,0,0,1,0,1,0,0
10P,13.433,1.466,8.433,0,0,1,1,1,0.4202085,0.7108542,0.408136,0.3641976,0.3433771,0.3112279,0.3227057,0.5527225,0.7900542,0.7693591,0.730163,0.2165522,0.5056766,0.4356619,0.2172241,0.52937,Recibe ambas cucharadas de papilla tranquilamente.,ID7,10P,10,P,0.367474925,0.5859614,-0.2029844,-0.1814842,-0.0647589,0.2414946,-0.0598912,0.2191097,1,0,False,recibe ambas cucharadas de papilla tranquilamente.,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,,,,,,0,0,0,0,0,0,0,1,0,0,0
11E,13.833,7.866,,0,0,1,1,1,0.13838,0.05139167,0.1345735,0.2307394,0.2738153,,,,0.1438468,0.3933105,0.542825,,,,0.1370998,0.171331,"Prueba solo el alimento, se lo lleva el mismo a la boca.",ID7,11E,11,E,0.1829216,0.260540994,-0.0012802,0.11993933,0.1392418,,0.3989782,,1,6,False,"prueba solo el alimento, se lo lleva el mismo a la boca.",0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
12E,6.6,,,1,0,0,0,0,0.14862,0.1512292,,,,,,,,,,,,,0.341304,0.4937291,Al momento de recibir el pocillo lo devuelve sin tocar el alimento.,ID7,12E,12,E,0.244962,0.32247915,0.192684,0.3424999,,,,,-0.5,12,False,al momento de recibir el pocillo lo devuelve sin tocar el alimento.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
12P,10.566,1.3,,0,0,1,1,1,0.2762383,0.2724875,0.3343064,0.2836168,0.1956922,,,,0.2858306,0.2790955,0.255596,,,,0.1755137,0.318092,Se come toda la cucharada aunque intenta devolver la comida de la boca.,ID7,12P,12,P,0.25307348,0.28222032,-0.1007246,0.0456045,-0.1386142,,-0.0302346,,1,6,False,se come toda la cucharada aunque intenta devolver la comida de la boca.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,0,0,0,0,0,0,0,1,0,0,0
