dia,t_total,t_prueba1,t_prueba2,rechaza,llora,toca,prueba,consume,valence_inicio,arousal_inicio,valence_p1_before,valence_p1_during,valence_p1_after,valence_p2_before,valence_p2_during,valence_p2_after,arousal_p1_before,arousal_p1_during,arousal_p1_after,arousal_p2_before,arousal_p2_during,arousal_p2_after,valence_final,arousal_final,comentarios,id,dia_original,dia_num,fase_dia,valence_mean,arousal_mean,valence_delta,arousal_delta,valence_p1_delta,valence_p2_delta,arousal_p1_delta,arousal_p2_delta,aceptacion_score,va_missing_count,tiene_nota_tecnica,texto_limpio,lex_rechazo_activo,lex_rechazo_activo_score,lex_malestar_emocional,lex_malestar_emocional_score,lex_aceptacion,lex_aceptacion_score,lex_exploracion,lex_exploracion_score,lex_intervencion_adulto,lex_intervencion_adulto_score,lex_autonomia,lex_autonomia_score,lex_problema_datos,lex_problema_datos_score,lex_net_acceptance,score_negacion,sentiment_label,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_score,cond_gira_cara,cond_usa_manos,cond_llora_malestar,cond_juega_alimento,cond_autonomo,cond_adulto_interviene,cond_formato_entero,cond_formato_papilla,cond_video_problema,cond_segunda_prueba,cond_ambivalente
11,18.73,1.5,3.43,0,0,0,1,1,0.1731134,0.6060042,0.3526806,0.3398498,0.3439848,0.3779947,0.3484415,0.2716425,0.7884769,0.7919184,0.7794912,0.3779947,0.7829572,0.746807,0.1700296,0.4501564,"1era vez sólo prueba, 2da consume",ID1,11,11,sin_fase,0.297217113,0.66547575,-0.0030838,-0.1558478,-0.0086958,-0.1063522,-0.0089857,0.3688123,1,0,False,"1era vez sólo prueba, 2da consume",0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,,,,,,0,0,0,0,0,0,0,0,0,1,0
12,21.33,3.6,9.9,0,0,0,1,1,0.07553978,0.2475,0.1140817,0.09534588,0.1166821,0.1295681,0.1385231,0.1354775,0.5163332,0.4703329,0.4393002,0.4122861,0.3919372,0.3752003,0.1207989,0.5138189,"1era vez sólo prueba, 2da consume",ID1,12,12,sin_fase,0.115752133,0.4208386,0.04525912,0.2663189,0.0026004,0.0059094,-0.077033,-0.0370858,1,0,False,"1era vez sólo prueba, 2da consume",0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,,,,,,0,0,0,0,0,0,0,0,0,1,0
13,21.29,3.11,10.3,0,0,0,1,1,0.1629333,0.57235,0.3269629,0.4831473,,0.1760402,0.2035878,0.1752403,0.7066146,0.73653,,0.3829641,0.3926499,0.4302371,0.1966855,0.2626756,,ID1,13,13,sin_fase,0.246371043,0.497717329,0.0337522,-0.3096744,,-0.0007999,,0.047273,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
14,19.09,0.93,11.1,0,0,0,1,1,,,,0.115516,,0.1292886,0.1709283,0.2395472,,0.4126084,,0.6413258,0.5864004,0.5439318,0.1326854,0.7901102,"2da vez: 0,49 seg después (0,5 FIT_FAILED)",ID1,14,14,sin_fase,0.1575931,0.59487532,,,,0.1102586,,-0.097394,1,6,True,"2da vez 0,49 seg después 0,5 fit_failed",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,0,0,0,0,0,0,0,0,1,1,0
15,18.86,1.63,12.1,0,0,0,1,1,0.1130981,0.601525,,0.1821491,0.1255434,0.2295672,0.1423743,0.13415,,0.7564171,0.7246944,0.7080662,0.6556586,0.6016923,0.08572582,0.557109,,ID1,15,15,sin_fase,0.144658274,0.657880371,-0.02737228,-0.044416,,-0.0954172,,-0.1063739,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
1,15.89,0.63,8.43,0,0,0,1,1,,,0.4303353,0.4201879,0.3126775,0.383046,0.3910111,0.2178053,0.6045712,0.7128978,0.7213606,0.7324265,0.7355257,0.69043,0.07699348,0.752195,,ID2,1,1,sin_fase,0.318865226,0.707058114,,,-0.1176578,-0.1652407,0.1167894,-0.0419965,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,21.06,4.7,16.3,0,0,0,1,1,0.3157233,0.7059375,0.2093909,0.2890919,0.2025354,0.1845351,0.2535517,0.215568,0.6871317,0.6329176,0.5997798,0.5017236,0.4877023,0.4664187,0.1668271,0.8143125,,ID2,2,2,sin_fase,0.229652925,0.611990463,-0.1488962,0.108375,-0.0068555,0.0310329,-0.0873519,-0.0353049,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,27.03,,,1,1,0,0,0,0.3607439,0.35305,,,,,,,,,,,,,,,"Seg 21,11 la papilla toca los labios pero no lo prueba",ID2,3,3,sin_fase,0.3607439,0.35305,,,,,,,-1,14,False,"seg 21,11 la papilla toca los labios pero no lo prueba",1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,-1,,,,,,0,0,0,0,0,0,0,1,0,0,0
4,39.73,8.36,37.1,1,,0,1,1,0.1403031,0.07530001,0.2111477,0.232873,,0.6392401,0.5974893,0.5909316,0.5865557,0.5564353,,0.4594442,0.6724257,0.6759906,0.1419482,0.411069,"2da vez: 0,5 antes FIT_FAILED, anotado 0,48. 0,5 después FIT_FAILED, 0,49 anotado",ID2,4,4,sin_fase,0.364847571,0.491031501,0.0016451,0.33576899,,-0.0483085,,0.2165464,0,2,True,"2da vez 0,5 antes fit_failed, anotado 0,48. 0,5 después fit_failed, 0,49 anotado",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,0,0,0,0,0,0,0,0,1,1,0
5,19.43,2.9,12.6,0,0,0,1,1,0.08556042,0.3470584,0.2838012,,,,,,0.6390883,,,,,,0.08152308,0.893075,,ID2,5,5,sin_fase,0.1502949,0.626407233,-0.00403734,0.5460166,,,,,1,10,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,10.49,1.43,,0,0,0,1,1,,,,,,,,,,,,,,,,,,ID2,6,6,sin_fase,,,,,,,,,1,16,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
1,32.16,4.26,6.2,0,0,0,1,1,0.3740375,0.9754208,0.1988649,,0.2159939,0.18752,0.1426047,0.1167848,0.5074647,,0.468702,0.5135257,0.5034558,0.4894415,0.1716968,0.6520805,"¿2da prueba? 18,86. Hace pucheros",ID3,1,1,sin_fase,0.2010718,0.587155857,-0.2023407,-0.3233403,0.017129,-0.0707352,-0.0387627,-0.0240842,1,2,False,"¿2da prueba 18,86. hace pucheros",0,0,1,2,1,1,0,0,0,0,0,0,0,0,-1,1,,,,,,0,0,1,0,0,0,0,0,0,1,0
2,24.23,4.43,17.06,0,0,0,1,0,0.4258815,0.8653625,0.138285,0.203841,0.3210213,,0.2581534,0.2308445,0.4488254,0.4224925,0.5092902,,0.906981,0.7869892,0.07162232,0.53429,,ID3,2,2,sin_fase,0.235664146,0.639175829,-0.35425918,-0.3310725,0.1827363,,0.0604648,,0.5,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,31.16,13.76,20.09,0,0,0,1,0,0.08344806,0.1381167,0.1563292,0.150162,0.1623059,0.2147297,0.2032492,0.2121862,0.4586549,0.435565,0.4189555,0.4548077,0.4389734,0.4304928,0.05974219,0.8573357,Esquiva la cuchara ¿rechazo?,ID3,3,3,sin_fase,0.155269056,0.454112712,-0.02370587,0.719219,0.0059767,-0.0025435,-0.0396994,-0.0243149,0.5,0,False,esquiva la cuchara ¿rechazo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,0,0,0,0,0,0,0,1,0,0,0
